cfc,Q,2,
chh,p,0,0
chh,p,100,100
chh,p,0,0
chh,p,-100,-100
chh,p,0,0
chh,p,100,100
chh,p,-100,-100
chh,p,0,0
chh,p,-100,-100
chh,p,100,100
chh,p,-100,-100
chh,p,0,0
chh,p,100,-100
chh,p,0,0
chh,p,-100,100
chh,p,-100,0
chh,p,0,0
chh,p,0,0
chh,p,200,200
chh,p,0,0
chh,p,-200,-200
chh,p,0,0
chh,p,200,200
chh,p,-200,-200
chh,p,0,0
chh,p,-200,-200
chh,p,200,200
chh,p,-200,-200
chh,p,0,0
chh,p,200,-200
chh,p,0,0
chh,p,-200,200
chh,p,-200,0
chh,p,0,0
chh,p,0,0
chh,p,300,300
chh,p,0,0
chh,p,-300,-300
chh,p,0,0
chh,p,300,300
chh,p,-300,-300
chh,p,0,0
chh,p,-300,-300
chh,p,300,300
chh,p,-300,-300
chh,p,0,0
chh,p,300,-300
chh,p,0,0
chh,p,-300,300
chh,p,-300,0
chh,p,0,0
chh,p,0,0
chh,p,400,400
chh,p,0,0
chh,p,-400,-400
chh,p,0,0
chh,p,400,400
chh,p,-400,-400
chh,p,0,0
chh,p,-400,-400
chh,p,400,400
chh,p,-400,-400
chh,p,0,0
chh,p,400,-400
chh,p,0,0
chh,p,-400,400
chh,p,-400,0
chh,p,0,0
chh,p,0,0
chh,p,500,500
chh,p,0,0
chh,p,-500,-500
chh,p,0,0
chh,p,500,500
chh,p,-500,-500
chh,p,0,0
chh,p,-500,-500
chh,p,500,500
chh,p,-500,-500
chh,p,0,0
chh,p,500,-500
chh,p,0,0
chh,p,-500,500
chh,p,-500,0
chh,p,0,0
cfc,Q,-1,
ccc,s,,
